      R(m)            Z(m)
 
 0.605013E+00    0.000000E+00
 0.604117E+00    0.273431E-01
 0.601438E+00    0.545782E-01
 0.597003E+00    0.815980E-01
 0.590854E+00    0.108296E+00
 0.583052E+00    0.134566E+00
 0.573671E+00    0.160305E+00
 0.562802E+00    0.185412E+00
 0.550548E+00    0.209787E+00
 0.537026E+00    0.233334E+00
 0.522360E+00    0.255960E+00
 0.506687E+00    0.277576E+00
 0.490149E+00    0.298096E+00
 0.472894E+00    0.317440E+00
 0.455073E+00    0.335531E+00
 0.436839E+00    0.352298E+00
 0.418345E+00    0.367675E+00
 0.399740E+00    0.381601E+00
 0.381172E+00    0.394020E+00
 0.362781E+00    0.404885E+00
 0.344700E+00    0.414152E+00
 0.327053E+00    0.421784E+00
 0.309955E+00    0.427752E+00
 0.293509E+00    0.432031E+00
 0.277806E+00    0.434606E+00
 0.262922E+00    0.435465E+00
 0.248922E+00    0.434606E+00
 0.235856E+00    0.432031E+00
 0.223760E+00    0.427752E+00
 0.212656E+00    0.421784E+00
 0.202552E+00    0.414152E+00
 0.193443E+00    0.404885E+00
 0.185313E+00    0.394020E+00
 0.178133E+00    0.381601E+00
 0.171864E+00    0.367675E+00
 0.166458E+00    0.352298E+00
 0.161858E+00    0.335531E+00
 0.158002E+00    0.317440E+00
 0.154824E+00    0.298096E+00
 0.152251E+00    0.277576E+00
 0.150212E+00    0.255960E+00
 0.148635E+00    0.233334E+00
 0.147447E+00    0.209787E+00
 0.146582E+00    0.185412E+00
 0.145974E+00    0.160305E+00
 0.145566E+00    0.134566E+00
 0.145306E+00    0.108296E+00
 0.145151E+00    0.815980E-01
 0.145066E+00    0.545782E-01
 0.145025E+00    0.273431E-01
 0.145013E+00    0.533291E-16
 0.145025E+00   -0.273431E-01
 0.145066E+00   -0.545782E-01
 0.145151E+00   -0.815980E-01
 0.145306E+00   -0.108296E+00
 0.145566E+00   -0.134566E+00
 0.145974E+00   -0.160305E+00
 0.146582E+00   -0.185412E+00
 0.147447E+00   -0.209787E+00
 0.148635E+00   -0.233334E+00
 0.150212E+00   -0.255960E+00
 0.152251E+00   -0.277576E+00
 0.154824E+00   -0.298096E+00
 0.158002E+00   -0.317440E+00
 0.161858E+00   -0.335531E+00
 0.166458E+00   -0.352298E+00
 0.171864E+00   -0.367675E+00
 0.178133E+00   -0.381601E+00
 0.185313E+00   -0.394020E+00
 0.193443E+00   -0.404885E+00
 0.202552E+00   -0.414152E+00
 0.212656E+00   -0.421784E+00
 0.223760E+00   -0.427752E+00
 0.235856E+00   -0.432031E+00
 0.248922E+00   -0.434606E+00
 0.262922E+00   -0.435465E+00
 0.277806E+00   -0.434606E+00
 0.293509E+00   -0.432031E+00
 0.309955E+00   -0.427752E+00
 0.327053E+00   -0.421784E+00
 0.344700E+00   -0.414152E+00
 0.362781E+00   -0.404885E+00
 0.381172E+00   -0.394020E+00
 0.399740E+00   -0.381601E+00
 0.418345E+00   -0.367675E+00
 0.436839E+00   -0.352298E+00
 0.455073E+00   -0.335531E+00
 0.472894E+00   -0.317440E+00
 0.490149E+00   -0.298096E+00
 0.506687E+00   -0.277576E+00
 0.522360E+00   -0.255960E+00
 0.537026E+00   -0.233334E+00
 0.550548E+00   -0.209787E+00
 0.562802E+00   -0.185412E+00
 0.573671E+00   -0.160305E+00
 0.583052E+00   -0.134566E+00
 0.590854E+00   -0.108296E+00
 0.597003E+00   -0.815980E-01
 0.601438E+00   -0.545782E-01
 0.604117E+00   -0.273431E-01
 0.605013E+00   -0.106658E-15
